Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
Influenza (Flu),Fever,Cough,Sore throat,Muscle aches,Fatigue
Common Cold,Sneezing,Stuffy nose,Sore throat,Cough,Mild headache
Type 2 Diabetes,Frequent urination,Excessive thirst,Fatigue,Blurred vision,Slow-healing sores
Hypertension,Headache,Shortness of breath,Dizziness,Chest pain,Blurred vision
Asthma,Wheezing,Shortness of breath,Chest tightness,Coughing,Difficulty breathing
Migraine,Severe headache,Nausea,Sensitivity to light,Sensitivity to sound,Blurred vision
Osteoarthritis,Joint pain,Stiffness,Swelling,Reduced range of motion,Tenderness
GERD (Acid Reflux),Heartburn,Regurgitation,Difficulty swallowing,Chest pain,Chronic cough
Urinary Tract Infection,Burning urination,Frequent urge to urinate,Cloudy urine,Pelvic pain,Strong-smelling urine
COVID-19,Fever,Dry cough,Fatigue,Loss of taste/smell,Shortness of breath
Bronchitis,Persistent cough,Mucus production,Fatigue,Shortness of breath,Chest discomfort
Sinusitis,Facial pain/pressure,Nasal congestion,Discolored nasal discharge,Sore throat,Cough
Strep Throat,Severe sore throat,Painful swallowing,Fever,Swollen lymph nodes,Red/swollen tonsils
Gastroenteritis,Diarrhea,Vomiting,Stomach cramps,Nausea,Low-grade fever
Conjunctivitis (Pink Eye),Eye redness,Itchiness,Gritty feeling,Eye discharge,Tearing
Chickenpox,Itchy rash,Fluid-filled blisters,Fever,Fatigue,Loss of appetite
Anemia,Fatigue,Weakness,Pale skin,Shortness of breath,Dizziness
Hypothyroidism,Weight gain,Fatigue,Cold intolerance,Dry skin,Constipation
Hyperthyroidism,Weight loss,Rapid heartbeat,Increased appetite,Anxiety,Sweating
Depression,Persistent sadness,Loss of interest,Sleep changes,Appetite changes,Fatigue
Anxiety Disorder,Restlessness,Rapid heart rate,Sweating,Trembling,Difficulty concentrating
ADHD,Inattention,Hyperactivity,Impulsivity,Difficulty focusing,Forgetfulness
Insomnia,Difficulty falling asleep,Waking up during night,Daytime sleepiness,Irritability,Poor concentration
Osteoporosis,Back pain,Loss of height,Stooped posture,Bone fractures,Fragile bones
Cataracts,Cloudy vision,Difficulty seeing at night,Sensitivity to light,Fading colors,Double vision in one eye
Glaucoma,Eye pain,Blurred vision,Halos around lights,Nausea,Vision loss
Obesity,Excess body fat,Shortness of breath,Increased sweating,Snoring,Inability to cope with physical activity
Sleep Apnea,Loud snoring,Episodes of stopped breathing,Abrupt awakenings,Morning headache,Excessive daytime sleepiness
Heart Attack,Chest pain,Shortness of breath,Nausea,Lightheadedness,Pain in jaw/back/arms
Stroke,Face drooping,Arm weakness,Speech difficulty,Sudden confusion,Vision problems
Pneumonia,Cough with phlegm,Fever,Chills,Difficulty breathing,Chest pain
Kidney Stones,Severe side/back pain,Pain during urination,Pink/red/brown urine,Nausea,Cloudy/foul-smelling urine
Gallstones,Sudden pain in upper right abdomen,Back pain between shoulder blades,Nausea,Vomiting,Bloating
Allergies (Hay Fever),Sneezing,Itchy eyes,Runny nose,Congestion,Watery eyes
Acne,Whiteheads,Blackheads,Small red bumps,Pimples,Painful lumps under skin
Psoriasis,Red patches of skin,Silvery scales,Dry/cracked skin,Itching,Swollen joints
Eczema,Dry skin,Itching,Red to brownish-gray patches,Small raised bumps,Thickened/cracked/scaly skin
Back Pain,Muscle ache,Shooting/stabbing pain,Pain radiating down leg,Limited flexibility,Inability to stand straight
Sciatica,Pain radiating from lower spine to buttock,Numbness in leg,Tingling sensation,Muscle weakness,Pain that worsens with sitting
Hepatitis B,Abdominal pain,Dark urine,Fever,Joint pain,Yellowing of skin/eyes (jaundice)
Tuberculosis,Persistent cough,Coughing up blood,Chest pain,Weight loss,Night sweats
